form	lemma	POS	morph
སྟ་	སྟ་	OTHER
སྡེ་	སྡེ་	NOUN
༷་		NON_WORD
སྙེ་	སྙེ་	NO_POS
རྡོ་	རྡོ་	NOUN
།		PUNCT
༵་		NON_WORD
འཕྲིན་ལས་	འཕྲིན་ལས་	NOUN
བཞུགས་སྒར་	བཞུགས་སྒར་	NO_POS
ཀིརྟིའི་		NON_WORD
བྱེས་པ་	བྱེས་པ་	OTHER
གྲྭ་	གྲྭ་	NOUN
ཚང་	ཚང་	VERB
ན་	ནས་	PART
འགྲེམས་	འགྲེམས་	NO_POS
སྤེལ་	སྤེལ་	VERB
བྱ་	བྱ་	VERB
།		PUNCT
པྱ་		NON_WORD
་་།		PUNCT
		
ཟོ་	ཟོ་	VERB
པྲུ་		NON_WORD
དྔྷ་		NON_WORD
		
ཅེ་	ཅེ་	NO_POS
ཇི་	ཇི་	NO_POS
ཀཱ་	ཀཱ་	NO_POS
རྟེ་		NON_WORD
ཚོན་	ཚོན་	NOUN
དི་		NON_WORD
ཅི་	ཅི་	NO_POS
ཚོ་	ཚོ་	DET
མ་	མ་	OTHER
འེ་		NON_WORD
ག༵་		NON_WORD
ཀྞི་		NON_WORD
པྱོ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
ཊྭཱཾ་		NON_WORD
ཛོ་	ཛོ་	NO_POS
རྡོ་	རྡོ་	NOUN
		
		
		
རློ་	རློ་	NO_POS
ཚ་	ཚ་	VERB
ལྡུ་		NON_WORD
		
		
ལ་	ལ་	PART
ལྷ་	ལྷ་	NOUN
		
		
།		PUNCT
རྟེ་		NON_WORD
མ་	མ་	PART
ཏྲེརེ་		NON_WORD
༷་		NON_WORD
		
		
ཟློ་	ཟློ་	NO_POS
རི་	རི་	NOUN
		
ཚོརྭ་		NON_WORD
ས་	ས་	ADP
བྱཱ་		NON_WORD
		
		
པ་	པ་	PART
དུ་	ལ་	PART
རྙི་	རྙི་	NOUN
		
ཏྭེ་		NON_WORD
ཤཱ་	ཤཱ་	NO_POS
ཇི་	ཇི་	NO_POS
རྙེ་		NON_WORD
ཆི་	ཆི་	NO_POS
		
རེ་	རེ་	DET
རྫུ་	རྫུ་	NO_POS
སྐེ་	སྐེ་	NOUN
ཇོ་	ཇོ་	NO_POS
།		PUNCT
ཟོ་	ཟོ་	VERB
		
ས་	ས་	ADP
ཅིཏྟ་		NON_WORD
།་་		PUNCT
ཝ་	ཝ་	OTHER
།་།		PUNCT
རྡོབྱེ་		NON_WORD
དཱི་		NON_WORD
༵་		NON_WORD
		
ཟློཚ་		NON_WORD
ཚོ་	ཚོ་	DET
ཉ་	ཉ་	NOUN
རི་	རི་	NOUN
		
		
རྨེཎྜ་		NON_WORD
ལྔ་	ལྔ་	NUM
༷་		NON_WORD
།་་		PUNCT
སྣོ་	སྣོ་	NO_POS
རྡོ་	རྡོ་	NOUN
		
༼		PUNCT
༷༷་		NON_WORD
སྨི་	སྨི་	NO_POS
་༼		PUNCT
		
དྐུ་		NON_WORD
དེན་	དེན་	NO_POS
།་		PUNCT
ཆི་	ཆི་	NO_POS
		
སྐྱེ་	སྐྱེ་	NOUN
		
ལྟོཤེ་		NON_WORD
༵་		NON_WORD
འི་	གི་	PART
ཇི་	ཇི་	NO_POS
༷་		NON_WORD
༷་		NON_WORD
		
རུ་	ལ་	PART
རྡོ༷ཛྷ་		NON_WORD
སྤྲོཛི་		NON_WORD
		
ཧཱུཾ་		NON_WORD
༷་		NON_WORD
		
མེ་	མེ་	NOUN
དྔྷ་		NON_WORD
གི་	གི་	PART
།།་། ་		PUNCT
མཛོ་ར་	མཛོ་ར་	NO_POS
བྱེ་	བྱེ་	NOUN
།		PUNCT
རྡོ་	རྡོ་	NOUN
དཱུ་		NON_WORD
ཁྲི་	ཁྲི་	NUM
མྨུ་		NON_WORD
སྙེ་	སྙེ་	NO_POS
ལཱ་	ལཱ་	NO_POS
༔		PUNCT
ཤྲཱི་		NON_WORD
ཚོ་	ཚོ་	DET
།		PUNCT
སྐཿ་		NON_WORD
ཛཱ་	ཛཱ་	NO_POS
		
ཥྛ་		NON_WORD
བསྐུ་	བསྐུ་	NO_POS
།		PUNCT
ཛྲ་		NON_WORD
		
		
༷་		NON_WORD
		
སྦོ་	སྦོ་	NO_POS
		
རི་	རི་	NOUN
རྗོ་		NON_WORD
ཥེ་		NON_WORD
ཛྭ་		NON_WORD
་་་་།་་་་		PUNCT
		
ཅེ་	ཅེ་	NO_POS
ཙུ་	ཙུ་	NO_POS
ཧཱུཾ་		NON_WORD
རྩོ་		NON_WORD
		
ཏྲེ་	ཏྲེ་	NO_POS
་ ་༈་		PUNCT
		
༷་		NON_WORD
		
ཌི་		NON_WORD
།		PUNCT
ཡ༷༵་		NON_WORD
		
ཏྟྭཾ་		NON_WORD
ཏོཀྵི་		NON_WORD
རི་	རི་	NOUN
རི་	རི་	NOUN
ཆོ་	ཆོ་	OTHER
སྐེ༷་		NON_WORD
		
། ་ ་		PUNCT
		
		
འེང་		NON_WORD
ཪྴ་		NON_WORD
		
་།		PUNCT
ཛྷ་		NON_WORD
སྤྱོ་	སྤྱོ་	NO_POS
		
		
		
ཅི༷་		NON_WORD
		
སྡིས་		NON_WORD
ཅོཤི་		NON_WORD
།་		PUNCT
		
པ་	པ་	PART
་། ་		PUNCT
ཆངརྭརྡོ་		NON_WORD
		
།་་ ་		PUNCT
		
ཇི་	ཇི་	NO_POS
		
ལྷ་	ལྷ་	NOUN
ཏཱསྐི་		NON_WORD
བྱེ་	བྱེ་	NOUN
ཇི་	ཇི་	NO_POS
།་		PUNCT
ལྷ་	ལྷ་	NOUN
ཚུ་	ཚུ་	OTHER
ཚོ༷་		NON_WORD
་་ །		PUNCT
ཚི་	ཚི་	OTHER
།		PUNCT
		
སྙེ་	སྙེ་	NO_POS
།།		PUNCT
གྱི་	གི་	PART
།		PUNCT
ཅི་	ཅི་	NO_POS
ནི་	ནི་	NO_POS
།་་་་་ ་་		PUNCT
རྟེ་		NON_WORD
ས་	ས་	ADP
་༼།་།་		PUNCT
སྙོ་		NON_WORD
		
		
		
ཧཱུཾ་		NON_WORD
།		PUNCT
མིངས་		NON_WORD
ཅིང་	ཅིང་	PART
སྙེ༷་		NON_WORD
		
རྫོ་		NON_WORD
ལྗ་		NON_WORD
		
		
སྣེ་	སྣེ་	NO_POS
ཪྻཱ་		NON_WORD
་ །		PUNCT
ཇི་	ཇི་	NO_POS
དྲོ་	དྲོ་	NOUN
་་་། ་		PUNCT
		
། ༼ ༼		PUNCT
		
		
ལིཀཚོ་		NON_WORD
རྫི་	རྫི་	VERB
་ ༄		PUNCT
ཉིད་	ཉིད་	DET
ཅི་	ཅི་	NO_POS
		
༷ཪྴསྤྱའི་		NON_WORD
ར་	ར་	ADP
རྡོ་	རྡོ་	NOUN
		
༽་་་ ་		PUNCT
		
ཇིསྨུགེ་		NON_WORD
།		PUNCT
		
		
ལི་	ལི་	OTHER
		
ད་	ད་	ADV
ཛིརི༷༷་		NON_WORD
་།		PUNCT
		
རཱི་		NON_WORD
།་།		PUNCT
ས་	ས་	ADP
རྨི་	རྨི་	NO_POS
་ །		PUNCT
		
		
སྐྱི་	སྐྱི་	NO_POS
་ །		PUNCT
		
ཆོ་	ཆོ་	OTHER
		
སྐུ་	སྐུ་	NOUN
ཤཱ་	ཤཱ་	NO_POS
ཉྫུ་		NON_WORD
་།		PUNCT
ཆི་	ཆི་	NO_POS
		
		
		
ཅི་	ཅི་	NO_POS
		
		
ཏྭོ་		NON_WORD
ཡི་	གི་	PART
རྙེ་		NON_WORD
ཪྴཛི་		NON_WORD
ཅི་པ་	ཅི་པ་	NO_POS
་།		PUNCT
ཅི་	ཅི་	NO_POS
ཧཱུཾ་		NON_WORD
།		PUNCT
		
		
དྷེ་		NON_WORD
ཟེ་	ཟེ་	OTHER
རྭ་	རྭ་	NOUN
སྒོཛེ་		NON_WORD
ཁྱེ་	ཁྱེ་	NO_POS
།།་		PUNCT
ཇིང་		NON_WORD
ཆི་	ཆི་	NO_POS
སྣ་	སྣ་	NOUN
པི་	པི་	NO_POS
ཆི་	ཆི་	NO_POS
།		PUNCT
ས་	ས་	ADP
།་		PUNCT
ཟློ༷སྐེ་		NON_WORD
		
་།		PUNCT
སྡིགོ་		NON_WORD
རི་	རི་	NOUN
༄		PUNCT
ཛོརྨི་		NON_WORD
ཧཱུཾ་		NON_WORD
བྱེ་	བྱེ་	NOUN
སྣ་	སྣ་	NOUN
ཅི་	ཅི་	NO_POS
གྱི་	གི་	PART
ཡ་	ཡ་	NOUN
གླེ་	གླེ་	NO_POS
།		PUNCT
མི༷་		NON_WORD
རྡོ་	རྡོ་	NOUN
དྷྭ་		NON_WORD
དེ་	དེ་	DET
འི་	གི་	PART
ཀྲོ་		NON_WORD
		
རི་	རི་	NOUN
		
		
རྡོ་	རྡོ་	NOUN
འི་	གི་	PART
ཿ་		NON_WORD
སྙེ་	སྙེ་	NO_POS
		
ཟློ་	ཟློ་	NO_POS
		
བྱེད་	བྱེད་	VERB
རི་	རི་	NOUN
།		PUNCT
རྭདུ་		NON_WORD
ཟེ་	ཟེ་	OTHER
ཁེརྶཱ་		NON_WORD
མེ་	མེ་	NOUN
		
མེསྔ་		NON_WORD
།༄		PUNCT
༷་		NON_WORD
ཅི་	ཅི་	NO_POS
		
སྟོསྤྱོ་		NON_WORD
		
རྟེ་		NON_WORD
		
༷་		NON_WORD
ཟཪྴ་		NON_WORD
རྒུ་	རྒུ་	VERB
འི་	གི་	PART
དོརྗོརྒིརྗོ་		NON_WORD
གེ་	གེ་	NO_POS
སྤེ་	སྤེ་	NO_POS
		
		
སྙི་	སྙི་	NO_POS
		
སྙེ་	སྙེ་	NO_POS
རྦི་		NON_WORD
སྤྲོ་	སྤྲོ་	NO_POS
		
མི་	མི་	PART
སྒྲོ་	སྒྲོ་	NOUN
ནེེ་		NON_WORD
		
རྫི་	རྫི་	VERB
		
		
སྒོ་	སྒོ་	NOUN
		
ཝཱི་		NON_WORD
ང་	ང་	PRON
		
དྔྷ་		NON_WORD
		
		
ཆོ་	ཆོ་	OTHER
སྡུ་	སྡུ་	NO_POS
གྱུ་	གྱུ་	NO_POS
འི་	གི་	PART
ལྟོ་	ལྟོ་	NOUN
འི་	གི་	PART
སྟུ་	སྟུ་	NO_POS
༔་་		PUNCT
སྨྲེ་	སྨྲེ་	NO_POS
ཙཱ་	ཙཱ་	NO_POS
		
ཛེེ་		NON_WORD
༵་		NON_WORD
།		PUNCT
བཇེ་		NON_WORD
ལྷ་	ལྷ་	NOUN
མི་	མི་	PART
སྐེ་	སྐེ་	NOUN
། ་		PUNCT
ཨོ་	ཨོ་	NO_POS
མྱུར་	མྱུར་	VERB
ཅིའི་	ཅིའི་	NO_POS
་།་		PUNCT
ལྷ་	ལྷ་	NOUN
		
སྐོཇིསྙེ་		NON_WORD
སྔོན་	སྔོན་	ADV
གླེང་	གླེང་	NO_POS
།		PUNCT
ཪྴརྡོ་		NON_WORD
།		PUNCT
སྐུང་	སྐུང་	NO_POS
འདི་	འདི་	DET
འི་	གི་	PART
སྭཱཧཱཔ་		NON_WORD
འི་	གི་	PART
རྟེའ་		NON_WORD
བསཔའི་		NON_WORD
ཪྵ་		NON_WORD
མེ་	མེ་	NOUN
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
མ་	མ་	PART
པོཆོ་		NON_WORD
སངྒི་		NON_WORD
བརྒྱད་པ་	བརྒྱད་པ་	NUM
དོ་	གོ་	PART
བཟང་	བཟང་	VERB
ལྷན་	ལྷན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བསྡུ་པ་	བསྡུ་པ་	VERB
རྒྱ་	རྒྱ་	NOUN
མདཔལ་		NON_WORD
བཟློང་		NON_WORD
ལྷ་	ལྷ་	NOUN
ར་	ལ་	PART
།་		PUNCT
རྩེརྣམ་		NON_WORD
ཐརམ་		NON_WORD
།		PUNCT
སྣ་	སྣ་	NOUN
།		PUNCT
སྟེ་	སྟེ་	PART
།		PUNCT
ན་	ལ་	PART
།		PUNCT
རབད་		NON_WORD
།		PUNCT
བྱཱདོ་		NON_WORD
།		PUNCT
		
ར་	ར་	ADP
་།		PUNCT
མོ་	གོ་	PART
ང་	ང་	PRON
།		PUNCT
ཞུ་	ཞུ་	VERB
།		PUNCT
སྟ་	སྟ་	OTHER
ཡབ་	ཡབ་	NOUN
ག་	ག་	NOUN
སྔགས་	སྔགས་	NOUN
འཆཪྴ་བ་	འཆཪྴ་བ་	NON_WORD
རིན་	རིན་	NOUN
དང་	དང་	NO_POS
ཡུམ་	ཡུམ་	NOUN
ཁྱེ་	ཁྱེ་	NO_POS
ཐ་	ཐ་	VERB
ག་	ག་	PRON
ས་	གིས་	PART
སྲསསུསྐུ་		NON_WORD
ཏྲཱིསྙིརྙི་		NON_WORD
།།		PUNCT
གུངམེསྔརལྷས་		NON_WORD
།		PUNCT
སྣསསྤྲིན་		NON_WORD
མནའཇམདབྱང་		NON_WORD
		
བཞདཔཉི་		NON_WORD
འའིགས་		NON_WORD
ཊྭཱཾ་		NON_WORD
རྒྱ་	རྒྱ་	NOUN
རྙིསཛི་		NON_WORD
སྐུ་ང་	སྐུ་ང་	NO_POS
བདུན་	བདུན་	NUM
		
		
སྐྱབྱིས་		NON_WORD
མག་	མག་	NO_POS
ཐུབ་	ཐུབ་	VERB
བསྟརྙི་		NON_WORD
༷འི་		NON_WORD
ཡང་	ཀྱང་	PART
དརུ་		NON_WORD
ཁྲི་		
།		PUNCT
ན་	ལ་	PART
མཛད་	མཛད་	VERB
།		PUNCT
དགུང་	དགུང་	NOUN
དྲུག་	དྲུག་	NUM
ག་	ག་	PRON
སྨྱོ་	སྨྱོ་	NO_POS
ཚང་	ཚང་	VERB
།		PUNCT
པལ་		NON_WORD
ལྷ་	ལྷ་	NOUN
རྙི་	རྙི་	NOUN
ཤིན་	ཤིན་	ADV
སཟློ་		NON_WORD
ཟློ་	ཟློ་	NO_POS
ན་	ལ་	PART
གནང་བ་	གནང་བ་	NO_POS
དངར་	དངར་	NO_POS
།		PUNCT
ཏུ་	ལ་	PART
བྱུངགེ་		NON_WORD
།		PUNCT
ད་	ད་	ADV
༑		PUNCT
སྡོ་	སྡོ་	NO_POS
བདུན་	བདུན་	NUM
སྣ་	སྣ་	NOUN
ར་	ལ་	PART
ཤིདལོ་		NON_WORD
།་		PUNCT
མདོག་	མདོག་	NOUN
ན་	ལ་	PART
ལ་	ལ་	PART
།་		PUNCT
དཔལ་བ་	དཔལ་བ་	OTHER
།		PUNCT
ང་	ང་	PRON
ཟློསད་		NON_WORD
ཚུལ་	ཚུལ་	NOUN
མ་པ་	མ་པ་	PART
བའོས་		NON_WORD
ང་	ང་	PRON
ཌཱ་	ཌཱ་	NO_POS
ངྒི་		NON_WORD
ཞབ་		NON_WORD
།		PUNCT
སྦྱལན་		NON_WORD
གསའ་	གསའ་	NO_POS
།		PUNCT
གནང་	གནང་	NO_POS
།		PUNCT
ཛད་		NON_WORD
།		PUNCT
དགུངཤཱརྟིདཔ་		NON_WORD
གཀྟམ་		NON_WORD
མཀི་		NON_WORD
།		PUNCT
ལྷ་	ལྷ་	NOUN
བཅད་	བཅད་	VERB
ལྷ་ས་	ལྷ་ས་	PROPN
ས་	ས་	ADP
		
མ་	མ་	PART
མཛད་	མཛད་	VERB
།		PUNCT
དགུང་	དགུང་	NOUN
བཅུགག་པ་	བཅུགག་པ་	NON_WORD
ར་	ལ་	PART
།		PUNCT
ཙ་	ཙ་	NOUN
		
ཐོ་	ཐོ་	NOUN
སྒ་		
ཉྫི་		NON_WORD
འཕྲུལརོནལམགསརའཛུགསགནརྟེ་		NON_WORD
།།		PUNCT
གུངལ་		NON_WORD
གོ་	གོ་	PART
ཞུརྗེ་		NON_WORD
ཉིག་		NON_WORD
རྒྱལ་	རྒྱལ་	VERB
ང་	ང་	PRON
ཁུལཏུ་		NON_WORD
འོ་	གོ་	PART
༷་		NON_WORD
།		PUNCT
ཇམ་		NON_WORD
།		PUNCT
བྱངས་		NON_WORD
མཁས་གྲུབ་	མཁས་གྲུབ་	NOUN
ས་	ས་	ADP
་།		PUNCT
དུནདན་		NON_WORD
ཆོད་	ཆོད་	VERB
།		PUNCT
སྡོཀཱ་		NON_WORD
།།		PUNCT
གུསྒོ་		NON_WORD
།		PUNCT
གསཔ་		NON_WORD
།		PUNCT
གསརྟ་		NON_WORD
		
		
རརྔ་		NON_WORD
ཡུལ་	ཡུལ་	NOUN
		
ཉེ་	ཉེ་	VERB
ས་	གིས་	PART
སྣ་	སྣ་	NOUN
ན་	ལ་	PART
ད་	ད་	ADV
།་		PUNCT
ན་	ལ་	PART
།		PUNCT
སྤྱསབཤད༵༵༷འབསྡུཪྴཪྴད་		NON_WORD
།		PUNCT
དགུངསར་		NON_WORD
ཊྭཱཾ་		NON_WORD
པ༵་		NON_WORD
ཞི་	ཞི་	VERB
།		PUNCT
ང་	ང་	PRON
ན་	ལ་	PART
ཞེ་	ཞེ་	PART
ངགདབཪྴ་		NON_WORD
ཉེའཕྲོ་		NON_WORD
མཀི་		NON_WORD
།		PUNCT
རྫུ་	རྫུ་	NO_POS
ལྷ་	ལྷ་	NOUN
།		PUNCT
ས་	ས་	ADP
བ་	བ་	ADP
ག་	ག་	PRON
ས་	གིས་	PART
ཉིམཔབས་		NON_WORD
།		PUNCT
དགུངར་		NON_WORD
ལྔ་	ལྔ་	NUM
༷་		NON_WORD
།		PUNCT
ཌཱ་	ཌཱ་	NO_POS
ཏྲཱི་		NON_WORD
རི་	རི་	NOUN
ད་	ད་	ADV
		
སྤྲ་	སྤྲ་	NO_POS
ས་	གིས་	PART
།་		PUNCT
ཊྭཱཾ་		NON_WORD
མཚནདགསར་		NON_WORD
འཛུགསམཛད་		NON_WORD
།		PUNCT
ད་	ད་	ADV
།		PUNCT
ཇི་	ཇི་	NO_POS
ལྔཤེ་		NON_WORD
སངརྐྱུསྒོའ་		NON_WORD
རློནགསྦྱན་		NON_WORD
བཏུལ་	བཏུལ་	NO_POS
།		PUNCT
ས་	ས་	ADP
བསྟནསྲུང་		NON_WORD
དུབས་	དུབས་	NO_POS
།		PUNCT
ཚ་	ཚ་	VERB
།		PUNCT
ཞེམདན་		NON_WORD
དུ་	ལ་	PART
།		PUNCT
ད་	ད་	ADV
དང་	དང་	NO_POS
བདུནདན་		NON_WORD
དུ་	ལ་	PART
རྒྱུད་	རྒྱུད་	NOUN
སྨད་	སྨད་	NOUN
བཙུགས་	བཙུགས་	NO_POS
།		PUNCT
དགུང་	དགུང་	NOUN
གསུམ་	གསུམ་	NUM
པརར་		NON_WORD
གཙངཀིརྟིའིདཤོནདུ་		NON_WORD
མཚནཉིད་		NON_WORD
གས་	གསའ་	NO_POS
ར་	ལ་	PART
འཛུགས་	འཛུགས་	NO_POS
མཛད་	མཛད་	VERB
།		PUNCT
དགུང་ལོ་	དགུང་ལོ་	NOUN
ཞེ་	ཞེ་	PART
བདུན་པ་	བདུན་པ་	NUM
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
དགེའིདམར་		NON_WORD
མོ་	གོ་	PART
ཐང་	ཐང་	NOUN
དུ་	ལ་	PART
ཤིང་	ཅིང་	PART
བཟའ་	བཟའ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
དུས་འཁོར་	དུས་འཁོར་	PROPN
དབང་ཆེན་	དབང་ཆེན་	OTHER
གསན་	གསན་	NO_POS
།		PUNCT
དགུང་ལོ་	དགུང་ལོ་	NOUN
ཤེ་	ཤེ་	PART
བརྒྱད་པ་	བརྒྱད་པ་	NUM
ར་	ལ་	PART
རྔ་པ་	རྔ་པ་	NO_POS
ཀིརྟིའིདགོནདུ་		NON_WORD
རྒྱུད་གྲྭ་	རྒྱུད་གྲྭ་	OTHER
གས་	གསའ་	NO_POS
ར་	ལ་	PART
འཛུགས་	འཛུགས་	NO_POS
ཀྱི་	གི་	PART
སྟ་གོན་	སྟ་གོན་	NOUN
དང་	དང་	NO_POS
སྟག་ཚང་	སྟག་ཚང་	OTHER
ལྷ་	ལྷ་	NOUN
མོརདུས་		NON_WORD
འཁོར་	འཁོར་	NOUN
གྲྭ་	གྲྭ་	NOUN
ཚངགསར་		NON_WORD
འཛུགས་	འཛུགས་	NO_POS
མཛད་	མཛད་	VERB
།		PUNCT
དགུང་ལོ་	དགུང་ལོ་	NOUN
ཞེདགུར་པ་	ཞེདགུར་པ་	NON_WORD
ར་	ལ་	PART
སྟག་	སྟག་	NOUN
ཚངདཔལ་		NON_WORD
གྱི་	གི་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
འི་	གི་	PART
གདན་ས་	གདན་ས་	NOUN
ར་	ལ་	PART
དུས་འཁོར་	དུས་འཁོར་	PROPN
